Reason,Description,Title,Rationale,condition,Result,ID,command,Policy ID,Remediation,Compliance,Rules
,The cramfs filesystem type is a compressed read-only Linux filesystem embedded in small footprint systems. A cramfs image can be used without having to first decompress the image.,Ensure mounting of cramfs filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the server. If this filesystem type is not needed, disable it.",all,passed,36000,"modprobe -n -v cramfs,lsmod",sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/cramfs.conf and add the following line: install cramfs /bin/true Run the following command to unload the cramfs module: # rmmod cramfs.,"[{""key"":""cis"",""value"":""1.1.1.1""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v cramfs -> r:install /bin/false|install /bin/true|Module cramfs not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:cramfs""}]"
,The freevxfs filesystem type is a free version of the Veritas type filesystem. This is the primary filesystem type for HP-UX operating systems.,Ensure mounting of freevxfs filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36001,modprobe -n -v freevxfs,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/freevxfs.conf and add the following line: install freevxfs /bin/true Run the following command to unload the freevxfs module: rmmod freevxfs.,"[{""key"":""cis"",""value"":""1.1.1.2""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v freevxfs -> r:install /bin/false|install /bin/true|Module freevxfs not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:freevxfs""}]"
,The jffs2 (journaling flash filesystem 2) filesystem type is a log-structured filesystem used in flash memory devices.,Ensure mounting of jffs2 filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36002,modprobe -n -v jffs2,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/jffs2.conf and add the following line: install jffs2 /bin/true Run the following command to unload the jffs2 module: # rmmod jffs2.,"[{""key"":""cis"",""value"":""1.1.1.3""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v jffs2 -> r:install /bin/false|install /bin/true|Module jffs2 not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:jffs2""}]"
,The hfs filesystem type is a hierarchical filesystem that allows you to mount Mac OS filesystems.,Ensure mounting of hfs filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36003,modprobe -n -v hfs,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/hfs.conf and add the following line: install hfs /bin/true Run the following command to unload the hfs module: # rmmod hfs.,"[{""key"":""cis"",""value"":""1.1.1.4""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v hfs -> r:install /bin/false|install /bin/true|Module hfs not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:hfs""}]"
,The hfsplus filesystem type is a hierarchical filesystem designed to replace hfs that allows you to mount Mac OS filesystems.,Ensure mounting of hfsplus filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36004,modprobe -n -v hfsplus,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/hfsplus.conf and add the following line: install hfsplus /bin/true Run the following command to unload the hfsplus module: # rmmod hfsplus.,"[{""key"":""cis"",""value"":""1.1.1.5""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v hfsplus -> r:install /bin/false|install /bin/true|Module hfsplus not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:hfsplus""}]"
,The squashfs filesystem type is a compressed read-only Linux filesystem embedded in small footprint systems (similar to cramfs). A squashfs image can be used without having to first decompress the image.,Ensure mounting of squashfs filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36005,modprobe -n -v squashfs,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/squashfs.conf and add the following line: install squashfs /bin/true Run the following command to unload the squashfs module: # rmmod squashfs.,"[{""key"":""cis"",""value"":""1.1.1.6""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v squashfs -> r:install /bin/false|install /bin/true|Module squashfs not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:squashfs""}]"
,The udf filesystem type is the universal disk format used to implement ISO/IEC 13346 and ECMA-167 specifications. This is an open vendor filesystem type for data storage on a broad range of media. This filesystem type is necessary to support writing DVDs and newer optical disc formats.,Ensure mounting of udf filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36006,/sbin/modprobe -n -v udf,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/udf.conf and add the following line: install udf /bin/true Run the following command to unload the udf module: # rmmod udf.,"[{""key"":""cis"",""value"":""1.1.1.7""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:/sbin/modprobe -n -v udf -> r:install /bin/false|install /bin/true|Module udf not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:udf""}]"
,"The FAT filesystem format is primarily used on older windows systems and portable USB drives or flash modules. It comes in three types FAT12 , FAT16 , and FAT32 all of which are supported by the vfat kernel module.",Ensure mounting of FAT filesystems is limited.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",all,failed,36007,/sbin/modprobe -n -v vfat,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/vfat.conf install vfat /bin/true Run the following command to unload the vfat module: # rmmod vfat.,"[{""key"":""cis"",""value"":""1.1.1.8""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:/sbin/modprobe -n -v vfat -> r:install /bin/false|install /bin/true|Module vfat not found""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:vfat""}]"
,The /tmp directory is a world-writable directory used for temporary storage by all users and some applications.,Ensure /tmp is configured.,"Making /tmp its own file system allows an administrator to set the noexec option on the mount, making /tmp useless for an attacker to install executable code. It would also prevent an attacker from establishing a hardlink to a system setuid program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw. This can be accomplished by either mounting tmpfs to /tmp, or creating a separate partition for /tmp.",any,passed,36008,findmnt -kn /tmp,sca_distro_independent_linux,"Configure /etc/fstab as appropriate. example: tmpfs /tmp tmpfs defaults,rw,nosuid,nodev,noexec,relatime 0 0 OR Run the following commands to enable systemd /tmp mounting: systemctl unmask tmp.mount systemctl enable tmp.mount Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to configure the /tmp mount: [Mount] What=tmpfs Where=/tmp Type=tmpfs Options=mode=1777,strictatime,noexec,nodev,nosuid.","[{""key"":""cis"",""value"":""1.1.2""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:findmnt -kn /tmp -> r:\\s*/tmp\\s""},{""type"":""command"",""rule"":""c:systemctl is-enabled tmp.mount -> r:generated|enabled""}]"
,The nodev mount option specifies that the filesystem cannot contain special devices.,Ensure nodev option set on /tmp partition.,"Since the /tmp filesystem is not intended to support devices, set this option to ensure that users cannot attempt to create block or character special devices in /tmp.",all,passed,36009,findmnt -kn /tmp,sca_distro_independent_linux,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp partition. See the fstab(5) manual page for more information. Run the following command to remount /tmp : # mount -o remount,nodev /tmp or Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to add nodev to the /tmp mount options: [Mount] Options=mode=1777,strictatime,noexec,nodev,nosuid Run the following command to remount /tmp : # mount -o remount,nodev /tmp.","[{""key"":""cis"",""value"":""1.1.3""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:findmnt -kn /tmp -> r:nodev""}]"
